cell,GLM,NN-DeepSharedDeepHead-TL-CNN,NN-DeepSharedDeepHead-TL-MLP,NN-DeepSharedDeepHead-TL-RNN,NN-DeepSharedShallowHead-TL-CNN,NN-DeepSharedShallowHead-TL-MLP,NN-DeepSharedShallowHead-TL-RNN,NN-PerCell-CNN,NN-PerCell-MLP,NN-PerCell-RNN,NN-ShallowSharedDeepHead-TL-CNN,NN-ShallowSharedDeepHead-TL-MLP,NN-ShallowSharedDeepHead-TL-RNN,XGBoost
39,0.035351911813554016,0.07099469106433687,0.07603706724582537,0.07435768447153857,0.05174863045486999,0.057904126633140374,0.0574783013175989,0.021487901270025644,0.04816882388024746,-0.002791735127945394,0.0623942039351425,0.060451432339283295,0.05565823401774461,0.06946640084310751
40,0.003842319650523618,0.026165570542200256,0.014579276817231146,0.016897377971926253,0.028099834038626592,0.01293131030392114,0.012491598536221282,-0.0012932018006228674,0.013849770372436065,0.03720619437981365,0.026131958728805138,0.010480294961051406,0.0037681728495523314,0.020932877032809216
41,0.008888490289936435,0.09419474721824195,0.08772607454609294,0.09989753906392962,0.08337970952742702,0.07573396161314705,0.11230004529192694,-0.004625001817642138,0.08703791656686422,0.09557802510434998,0.0992639056711142,0.0675672091186662,0.07327045200060966,0.11858410761467486
42,0.03367588014832634,0.05447878138308815,0.060694010122081865,0.06333220364388958,0.05120690286817764,0.05560622688113781,0.058349857691798235,0.027335033484909177,0.04103785063354648,0.007825391305169127,0.05070222499802701,0.05386568072552189,0.053170886911691584,0.0612810137923705
43,0.029419320449771802,0.0719846015669442,0.05278109333727987,0.04322256692757975,0.07623825661230665,0.0561382546028758,0.033658015673344366,-0.021503825909400254,0.02464153714664452,0.005197394011597356,0.04935932894292827,0.05043629024203189,0.04164229899863914,0.008217927854900942
44,0.05056165853037875,0.18385556620326893,0.20494884077143138,0.23277260461555216,0.19508870595209082,0.17062159707149904,0.2418011295706438,-0.0006818646372388493,0.12071621189444293,0.2259884853009878,0.2091293715643645,0.16294173638459308,0.18177696823082212,0.17085804591962694
45,0.018818620462114688,0.05152143377890139,0.0748451175721313,0.07409725500252995,0.05694151124378821,0.05267819904621063,0.08353820030107795,0.023562597387710937,0.014747923386732142,0.05447173351525769,0.0650966765485046,0.056647992729703334,0.055690545435522654,0.05233427281411285
46,0.007281789176029951,0.01856090903975538,0.014123212411244701,0.04271418556861761,0.03203442114083843,0.027500758019296634,0.04095839221715736,0.028691686609924272,0.012154955976493187,0.016902374258013775,0.03861265817119863,0.029057863002720508,0.03215497473043638,0.003084545968011443
47,-0.037437971912849255,0.0023073178924269966,-0.029087787288250677,-0.017676932889664432,-0.002762810311862207,-0.026664533840433435,-0.0038555238669306657,-0.00034674305093784774,-0.01992704730320871,-9.455441503458673e-05,0.0020868820740819194,-0.023694825445039314,-0.0009519673876268175,-0.007697170641261852
48,0.011092538995645329,0.04634883710677451,0.04332821719754476,0.05138855080888027,0.04237333268430987,0.029189848543017982,0.048151603033983914,-0.007244956308428918,0.026320054838503193,0.000558201268515135,0.044378646358810725,0.032762884728175234,0.04489469572409255,0.03597455161572305
49,0.004428375913303473,0.02427011501850085,0.03605966437043373,0.035087727132474766,0.041995992051028774,0.022797362723628867,0.03209723832397726,-0.0009033003512244342,0.00745288753950768,-0.009372243545159531,0.03136985347910015,0.009415326772096888,0.03151627625443576,0.033751440547684086
50,0.011924432219889813,0.013673033318084449,0.04614912770180546,0.049899134206287554,0.028081913303270922,0.031344821926403865,0.05343605038882748,-4.921998191242949e-07,0.015539865474932912,0.021840789641302982,0.005763511017762624,0.0365519087080064,0.032554382759531375,0.03503003114208303
51,0.030347120233093494,0.051872070273013104,0.058274323780907245,0.05406648838506933,0.05941643064070723,0.027574335122223292,0.0184314135820961,-0.0005116913460017081,0.0228540657111993,0.05293354314590337,0.04495043250360142,0.05804484576007207,0.0668026210539554,0.0805057855505874
